customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7310-EGVHZ,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1610,0
3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,3815,0
6234-RAAPL,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,5644,0
6047-YHPVI,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2742,1
6572-ADKRS,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3073,0
5380-WJKOV,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3074,1
8168-UQWWF,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,202,1
8865-TNMNX,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,4024,0
9489-DEDVP,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4118,0
9867-JCZSP,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,3572,0
4671-VJLCL,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4105,0
4080-IIARD,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6503,0
3714-NTNFO,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3348,0
5948-UJZLF,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,6481,0
7760-OYPDY,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,809,1
7639-LIAYI,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,3599,0
2954-PIBKO,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,3625,0
8012-SOUDQ,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3285,0
9420-LOJKX,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,789,1
6575-SUVOI,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1275,0
7495-OOKFY,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5113,1
4667-QONEA,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,3782,0
1658-BYGOY,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1274,1
8769-KKTPH,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5104,0
5067-XJQFU,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,5555,0
3957-SQXML,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,6314,0
5954-BDFSG,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,5937,0
0434-CSFON,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,3985,0
1215-FIGMP,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,4530,0
0526-SXDJP,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2558,0
0557-ASKVU,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6459,0
5698-BQJOH,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6234,1
5122-CYFXA,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,2086,0
8627-ZYGSZ,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3157,0
3410-YOQBQ,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2143,0
3170-NMYVV,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,6399,0
7410-OIEDU,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,6290,0
2273-QCKXA,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,4137,0
0731-EBJQB,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,181,0
1891-QRQSA,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,5563,0
8028-PNXHQ,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,785,0
5630-AHZIL,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,1295,0
2673-CXQEU,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5009,0
6416-JNVRK,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2339,0
5590-ZSKRV,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,4071,0
0191-ZHSKZ,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,1742,0
3887-PBQAO,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,397,0
5919-TMRGD,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5966,1
8108-UXRQN,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,4676,0
9191-MYQKX,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4199,1
9919-YLNNG,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3682,0
0318-ZOPWS,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,6491,0
4445-ZJNMU,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,6364,0
4808-YNLEU,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,1852,0
1862-QRWPE,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,108,0
2796-NNUFI,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,6382,0
3016-KSVCP,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,19,0
4767-HZZHQ,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2229,0
2424-WVHPL,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,5723,0
7233-PAHHL,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,4717,0
6067-NGCEU,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,5575,0
9848-JQJTX,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,5751,0
8637-XJIVR,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6384,1
9803-FTJCG,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4018,0
0278-YXOOG,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,252,1
3212-KXOCR,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,203,0
4598-XLKNJ,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2175,1
6380-ARCEH,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,1610,0
3679-XASPY,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,1483,0
7123-WQUHX,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3122,0
5386-THSLQ,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,2630,0
3192-NQECA,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,5833,1
6180-YBIQI,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,1,0
6728-DKUCO,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,5672,0
9750-BOOHV,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,6385,0
8597-CWYHH,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3358,0
2848-YXSMW,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,658,0
0486-HECZI,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4391,1
4549-ZDQYY,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,2642,0
5712-AHQNN,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3380,0
4846-WHAFZ,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2475,1
5256-SKJGO,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,2967,0
3071-VBYPO,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,2128,0
9560-BBZXK,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,240,0
5299-RULOA,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,124,1
8402-OOOHJ,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,6160,0
9445-ZUEQE,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,1769,0
1091-SOZGA,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,4581,0
2928-HLDBA,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,230,0
0404-SWRVG,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1931,1
6497-TILVL,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,3039,0
7219-TLZHO,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5043,0
4622-YNKIJ,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,2632,0
4412-YLTKF,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1755,1
6734-PSBAW,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1228,0
3930-ZGWVE,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1489,0
2639-UGMAZ,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3403,0
2876-GZYZC,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,394,0
6207-WIOLX,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,912,1
8587-XYZSF,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,2837,0
3091-FYHKI,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3032,1
2372-HWUHI,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6058,1
7799-LGRDP,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,348,0
7850-VWJUU,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1304,0
3774-VBNXY,0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,510,0
6217-KDYWC,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,319,0
0390-DCFDQ,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510,1
3146-MSEGF,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,5173,0
4080-OGPJL,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4664,1
1095-WGNGG,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,4894,0
2636-SJDOU,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,4419,0
1131-QQZEB,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1278,0
5716-EZXZN,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,5168,0
6837-BJYDQ,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,4983,0
2135-RXIHG,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3821,1
6440-DKQGE,1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1528,0
3466-BYAVD,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,141,0
3780-YVMFA,0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,4669,0
3874-EQOEP,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5236,1
1679-JRFBR,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,5988,0
9073-ZZIAY,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,4370,0
3077-RSNTJ,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,250,0
6551-GNYDG,0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,290,0
9167-APMXZ,0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1378,0
2749-CTKAJ,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,3583,0
6371-NZYEG,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,51,0
7554-NEWDD,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,2166,0
8992-VONJD,0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,5845,0
0867-MKZVY,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1047,1
4482-EWFMI,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,639,0
4648-YPBTM,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3383,0
2907-ILJBN,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1966,0
6345-FZOQH,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,659,0
3376-BMGFE,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2373,1
5997-OPVFA,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,5071,0
3445-HXXGF,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2300,1
1159-WFSGR,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,2790,0
7654-YWJUF,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3064,0
1875-QIVME,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2066,1
6727-IOTLZ,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,339,0
0691-JVSYA,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4239,1
5918-VUKWP,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,5230,0
1744-JHKYS,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,5917,0
2656-FMOKZ,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,277,1
2070-FNEXE,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4260,1
5947-SGKCL,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1001,0
3712-PKXZA,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,459,0
6317-YPKDH,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2507,1
6582-OIVSP,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,3816,0
9367-WXLCH,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5278,1
5524-KHNJP,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2104,0
1918-ZBFQJ,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,216,1
1024-GUALD,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2044,1
4827-USJHP,1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,48,0
8167-GJLRN,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,6099,0
0956-SYCWG,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,2090,0
8017-UVSZU,0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2015,0
7100-FQPRV,1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,2757,0
2472-OVKUP,1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,4440,1
2984-RGEYA,0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,678,0
9680-NIAUV,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,6076,0
2146-EGVDT,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,359,0
2604-IJPDU,0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1502,0
9178-JHUVJ,1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,4822,0
6168-YBYNP,1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,5218,0
7255-SSFBC,1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,6038,0
3645-DEYGF,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,1621,0
9323-HGFWY,0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,2333,0
8544-GOQSH,0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,218,0
3363-DTIVD,1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,5730,0
7018-WBJNK,1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,72,0
9142-KZXOP,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2552,0
7674-YTAFD,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2336,0
6348-SNFUS,1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,3571,0
1285-OKIPP,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,5974,1
7825-ECJRF,0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1536,1
1347-KTTTA,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,5291,0
7841-TZDMQ,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,6174,1
4195-NZGTA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,2152,0
7157-SMCFK,1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,237,0
4709-LKHYG,0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,4493,0
2504-DSHIH,1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1580,0
0699-NDKJM,0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,2976,0
9286-BHDQG,1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,2727,0
0230-WEQUW,1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,3250,0
2040-LDIWQ,1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,4450,0
6496-JDSSB,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,5063,0
9408-SSNVZ,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,2329,1
4443-EMBNA,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,1390,0
6469-MRVET,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,1610,0
0742-MOABM,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,1326,1
5961-VUSRV,0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,1807,0
6778-JFCMK,1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,525,0
6341-JVQGF,0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2198,0
2232-DMLXU,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,4560,1
4811-JBUVU,1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,2365,0
0945-TSONX,0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,3495,0
2651-ZCBXV,1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,4756,0
3316-UWXUY,1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4015,0
8937-RDTHP,1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,6175,1
7083-MIOPC,0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1016,0
1984-GPTEH,0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,5529,0
1251-KRREG,1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,269,1
0621-JFHOL,0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,2583,0
9903-LYSAB,1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,561,0
0094-OIFMO,0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,231,1
9227-UAQFT,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,2456,0
7301-ABVAD,0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,5128,0
6614-FHDBO,1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,109.2,5946,0
7576-ASEJU,0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,2771,0
9058-HRZSV,0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,4999,0
4522-AKYLR,0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,54.8,5674,0
0221-WMXNQ,1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,2376,0
0303-UNCIP,1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2187,0
9947-OTFQU,1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,146,1
0322-YINQP,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,4051,1
0959-WHOKV,1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,99.0,3653,0
4075-JFPGR,0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,93.5,3921,0
4629-NRXKX,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,864,1
9514-JDSKI,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,3414,1
3282-ZISZV,1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,2280,0
3675-YDUPJ,1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,19.85,1529,0
4111-BNXIF,0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,3494,0
7017-VFHAY,0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,115.1,5524,0
6655-LHBYW,1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,4775,0
4959-JOSRX,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,6021,1
5046-NUHWD,0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,45.0,416,0
7273-TEFQD,1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,583,1
3606-TWKGI,1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,660,1
7529-ZDFXI,1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,89.85,4178,0
7605-BDWDC,0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,942,0
